nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
E,E01028485,10.389,10.7,5.7,13.252685480344308,8,7,30678.0,8,4
E,E01031023,10.298,8.799999999999999,6.2,13.250016337735223,8,7,30679.0,8,4
E,E01025533,9.836,14.000000000000002,8.799999999999999,13.249829266226602,8,7,30680.0,8,4
E,E01017620,10.528,8.1,4.9,13.248887331520015,8,7,30681.0,8,4
E,E01000654,10.226,13.100000000000001,6.6000000000000005,13.248859057223573,8,7,30682.0,8,4
S,S01012373,18.17964341619374,11.0,11.0,13.248280777056562,5,7,30683.0,8,4
E,E01026061,9.763,10.6,9.2,13.24744944374543,8,7,30684.0,8,4
E,E01026163,9.745,10.4,9.3,13.247160123617517,8,7,30685.0,8,4
E,E01021155,10.348,13.200000000000001,5.8999999999999995,13.24599413024088,8,7,30686.0,8,4
E,E01035587,10.259,14.099999999999998,6.4,13.245770071570838,8,7,30687.0,8,4
E,E01002477,9.868,12.9,8.6,13.245517738604347,8,7,30688.0,8,4
S,S01009406,16.463153318314944,10.0,8.0,13.244375090977698,6,7,30689.0,8,4
E,E01013793,10.24,8.1,6.5,13.244258209473404,8,7,30690.0,8,4
E,E01002451,10.186,16.6,6.800000000000001,13.243390249089662,8,7,30691.0,8,4
S,S01010791,14.177313660359884,7.0,4.0,13.24316629768926,6,7,30692.0,8,4
E,E01018419,10.309,13.600000000000001,6.1,13.241747864076494,8,7,30693.0,8,4
E,E01022204,10.007,16.0,7.8,13.24171958978005,8,7,30694.0,8,4
E,E01015391,10.113,11.700000000000001,7.199999999999999,13.241010426608492,8,7,30695.0,8,4
E,E01004653,10.645,9.1,4.2,13.239909694689723,8,7,30696.0,8,4
E,E01034356,10.395,14.7,5.6000000000000005,13.238304296837981,8,7,30697.0,8,4
E,E01028168,9.684,10.6,9.6,13.237734369447136,8,7,30698.0,8,4
E,E01008627,9.968,8.3,8.0,13.237473323615665,8,7,30699.0,8,4
S,S01007115,16.457457362119513,10.0,8.0,13.236280388257667,6,7,30700.0,8,4
S,S01012914,15.885677678039055,10.0,7.0,13.235523755298976,6,7,30701.0,8,4
S,S01011364,14.742905424285697,7.0,5.0,13.235129082453103,6,7,30702.0,8,4
E,E01011521,9.983,12.4,7.9,13.23409501783502,8,7,30703.0,8,4
S,S01008304,15.884613938454129,8.0,7.0,13.234012041476735,6,7,30704.0,8,4
E,E01030659,10.018,12.0,7.7,13.233451116121325,8,7,30705.0,8,4
E,E01007159,9.68,10.299999999999999,9.6,13.232844201569055,8,7,30706.0,8,4
E,E01018011,10.248,8.5,6.4,13.232322109906114,8,7,30707.0,8,4
E,E01008320,9.555,11.5,10.299999999999999,13.232041502643183,8,7,30708.0,8,4
E,E01021215,9.75,12.3,9.2,13.231556398141667,8,7,30709.0,8,4
S,S01010441,15.882728307757525,10.0,7.0,13.231332312313612,6,7,30710.0,8,4
E,E01003807,10.122,9.8,7.1,13.230296869010722,8,7,30711.0,8,4
E,E01028689,9.66,16.0,9.700000000000001,13.230109797502104,8,7,30712.0,8,4
E,E01032713,9.73,11.5,9.3,13.228821994074716,8,7,30713.0,8,4
E,E01014375,10.491,5.6000000000000005,5.0,13.225369713971215,8,7,30714.0,8,4
E,E01032266,9.777,11.1,9.0,13.22113216067181,8,7,30715.0,8,4
E,E01035636,9.812,14.099999999999998,8.799999999999999,13.220488258958117,8,7,30716.0,8,4
E,E01024184,10.078,15.9,7.3,13.219937892998736,8,7,30717.0,8,4
E,E01003225,10.255,8.799999999999999,6.3,13.21916346836931,8,7,30718.0,8,4
E,E01013263,9.722,11.899999999999999,9.3,13.219041658318554,8,7,30719.0,8,4
E,E01018277,10.36,9.0,5.7,13.217231763228224,8,7,30720.0,8,4
E,E01005771,10.057,12.2,7.3999999999999995,13.215980946962262,8,7,30721.0,8,4
E,E01005037,9.648,10.9,9.700000000000001,13.215439293867863,8,7,30722.0,8,4
S,S01009282,16.44250428100634,8.0,8.0,13.215030093801971,6,7,30723.0,8,4
S,S01012317,15.299949965095252,11.0,6.0,13.214945139286804,6,7,30724.0,8,4
E,E01014383,10.57,6.800000000000001,4.5,13.213368352946063,8,7,30725.0,8,4
E,E01034424,10.232,14.799999999999999,6.4,13.212761438393793,8,7,30726.0,8,4
E,E01022787,9.983,12.3,7.8,13.212378582511567,8,7,30727.0,8,4
E,E01006668,9.733,12.0,9.2,13.210773184659827,8,7,30728.0,8,4
E,E01026518,9.786,12.4,8.9,13.210418603074046,8,7,30729.0,8,4
E,E01019698,10.016,9.3,7.6,13.209289596858834,8,7,30730.0,8,4
S,S01009654,16.438196771895385,8.0,8.0,13.208908556957118,6,7,30731.0,8,4
E,E01020003,9.767,15.5,9.0,13.20890674097661,8,7,30732.0,8,4
E,E01023307,10.192,11.200000000000001,6.6000000000000005,13.207292630259888,8,7,30733.0,8,4
E,E01006689,10.014,12.1,7.6,13.206844512919794,8,7,30734.0,8,4
