nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
E,E01022665,8.946,15.7,8.4,15.466377800722809,8,6,27447.0,7,4
E,E01022184,11.099,12.1,7.7,15.466332367657104,8,6,27448.0,7,4
E,E01033441,11.577,12.1,8.7,15.466211328302244,7,6,27449.0,7,4
S,S01009479,22.167936601014414,12.0,12.0,15.466075768210276,4,6,27450.0,7,4
S,S01007024,18.98594796058289,8.0,7.0,15.465896168893387,5,6,27451.0,7,4
E,E01012152,11.834,12.0,9.1,15.462629985226055,7,6,27452.0,7,4
E,E01011614,10.447,12.9,7.5,15.46253534182358,8,6,27453.0,7,4
E,E01030668,9.67,12.5,5.3,15.46086208697112,8,6,27454.0,7,4
E,E01034633,9.791,14.399999999999999,8.3,15.460460715944931,8,6,27455.0,7,4
E,E01024260,13.081,10.4,9.4,15.460396847432538,7,6,27456.0,7,4
E,E01002436,10.566,13.900000000000002,9.2,15.459585060773659,8,6,27457.0,7,4
S,S01007891,19.76687302994757,10.0,8.0,15.458789844961295,5,6,27458.0,7,4
E,E01012611,13.914,8.5,8.4,15.458417162923766,7,6,27459.0,7,4
E,E01031491,9.454,14.399999999999999,7.6,15.457978671303065,8,6,27460.0,7,4
E,E01021882,12.367,8.799999999999999,5.6000000000000005,15.457376584898832,7,6,27461.0,7,4
S,S01009409,20.42703415442068,11.0,9.0,15.45718884328578,5,6,27462.0,7,4
E,E01006290,12.748,10.6,9.0,15.4566023360343,7,6,27463.0,7,4
E,E01029803,14.635,6.9,7.6,15.45610327073808,6,6,27464.0,7,4
E,E01019100,12.422,11.0,8.9,15.454703823117537,7,6,27465.0,7,4
E,E01019030,10.38,14.299999999999999,9.4,15.454013975447543,8,6,27466.0,7,4
E,E01020698,12.67,12.3,11.3,15.453497791538496,7,6,27467.0,7,4
S,S01008773,21.8697982219885,14.0,11.0,15.450790499795243,4,6,27468.0,7,4
E,E01022683,9.627,14.000000000000002,7.3999999999999995,15.449646407265186,8,6,27469.0,7,4
E,E01027633,13.923,5.5,4.1000000000000005,15.449631564622774,7,6,27470.0,7,4
E,E01019889,12.645,12.4,11.4,15.449532196048946,7,6,27471.0,7,4
E,E01033294,10.955,13.600000000000001,9.6,15.44936565839403,8,6,27472.0,7,4
E,E01021932,11.258,12.4,8.5,15.449027619447966,7,6,27473.0,7,4
E,E01015486,12.219,12.6,10.8,15.448542562394481,7,6,27474.0,7,4
S,S01007304,17.113850249288234,6.0,4.0,15.448159653536711,5,6,27475.0,7,4
E,E01023834,10.942,13.200000000000001,9.0,15.446643149843693,8,6,27476.0,7,4
E,E01022558,11.152,11.3,6.7,15.443109635036059,7,6,27477.0,7,4
S,S01008816,19.380966863463428,7.0,8.0,15.442809284204017,5,6,27478.0,7,4
E,E01029751,10.346,14.399999999999999,9.5,15.440422984244467,8,6,27479.0,7,4
E,E01004974,11.324,12.5,8.799999999999999,15.44011816938942,7,6,27480.0,7,4
E,E01013007,11.747,13.200000000000001,10.7,15.438309271004554,7,6,27481.0,7,4
E,E01018412,12.521,10.0,7.7,15.435134327825127,7,6,27482.0,7,4
E,E01027356,11.101,12.4,8.200000000000001,15.434518888842868,8,6,27483.0,7,4
E,E01013028,12.292,9.5,6.5,15.434298957616539,7,6,27484.0,7,4
E,E01020932,14.192,11.799999999999999,13.8,15.433391579654895,6,6,27485.0,7,4
E,E01034862,10.132,13.8,8.200000000000001,15.43285832539928,8,6,27486.0,7,4
E,E01024203,13.895,6.9,6.1,15.43168659628024,7,6,27487.0,7,4
E,E01015576,10.316,13.600000000000001,8.3,15.430700013493338,8,6,27488.0,7,4
E,E01029995,10.613,12.2,6.9,15.429535464478413,8,6,27489.0,7,4
S,S01008311,21.030605634283532,16.0,9.0,15.429320613727263,4,6,27490.0,7,4
E,E01002112,9.571,13.5,6.6000000000000005,15.42929793220507,8,6,27491.0,7,4
E,E01004639,10.31,11.600000000000001,5.4,15.429053637027456,8,6,27492.0,7,4
E,E01007973,12.291,11.5,9.4,15.428458915194122,7,6,27493.0,7,4
E,E01026368,10.967,13.900000000000002,10.100000000000001,15.428247063705935,8,6,27494.0,7,4
E,E01027335,11.111,12.1,7.8,15.428032578550022,8,6,27495.0,7,4
E,E01018034,9.979,12.7,6.3,15.427808035652955,8,6,27496.0,7,4
E,E01035408,9.07,13.600000000000001,5.7,15.42759235289562,8,6,27497.0,7,4
